Species,POINT_X,POINT_Y
bias,-72.831111,42.258889
bias,-72.8375,42.261389
bias,-72.841667,42.260556
bias,-72.858056,42.301389
bias,-72.858611,42.305556
bias,-72.861111,42.309444
bias,-72.860556,42.308611
bias,-72.861667,42.310278
bias,-72.851389,42.318333
bias,-72.869444,42.296111
bias,-72.855278,42.306944
bias,-72.854722,42.306111
bias,-72.857778,42.298889
bias,-72.858611,42.298333
bias,-72.859167,42.2925
bias,-72.858889,42.2925
bias,-72.841667,42.345556
bias,-72.846111,42.342222
bias,-72.845651,42.337588
bias,-72.845651,42.344532
bias,-72.848889,42.335
bias,-72.855,42.334722
bias,-72.3261,41.4642
bias,-72.3873,43.356
bias,-72.38866,43.35866
bias,-72.48916,43.35033
bias,-72.35116,43.23283
bias,-72.4375,43.2615
bias,-72.43866,43.25983
bias,-72.26766,43.3165
bias,-72.2685,43.31866
bias,-72.26783,43.31733
bias,-71.14473,41.53551
bias,-71.209,41.59428
bias,-71.21028,41.54551
bias,-71.21038,41.54536
bias,-71.2072,41.5441
bias,-71.20835,41.54481
bias,-70.808212,42.607015
bias,-70.772261,42.574475
bias,-72.538533,42.608086
bias,-72.532533,42.604086
bias,-72.531533,42.615085
bias,-72.529532,42.501088
bias,-72.82125,42.2478
bias,-72.828031,42.24787
bias,-72.8271,42.249929
bias,-72.82366,42.249999
bias,-72.833191,42.262799
bias,-72.833931,42.261389
bias,-72.835371,42.258639
bias,-72.837511,42.258499
bias,-72.842531,42.255779
bias,-72.839551,42.255849
bias,-72.830821,42.258359
bias,-72.82655,42.257089
bias,-72.831801,42.261419
bias,-72.79798,42.158472
bias,-72.79914,42.158922
bias,-72.80016,42.159962
bias,-72.79993,42.160822
bias,-72.80564,42.160852
bias,-72.80768,42.160062
bias,-72.80977,42.158032
bias,-72.81098,42.163402
bias,-72.81399,42.169811
bias,-72.81446,42.174151
bias,-72.81121,42.172011
bias,-72.80699,42.161782
bias,-72.80457,42.158822
bias,-72.80211,42.159682
bias,-72.80137,42.159612
bias,-72.80095,42.160892
bias,-72.79914,42.158402
bias,-72.32358,41.4654
bias,-72.3104,41.38403
bias,-72.31058,41.38407
bias,-72.31507,41.3788
bias,-72.31592,41.37817
bias,-72.30619,41.4632
bias,-72.30614,41.46272
bias,-72.306,41.46428
bias,-72.3051,41.46542
bias,-72.26938,41.42023
bias,-72.26887,41.42014
bias,-72.26821,41.41733
bias,-72.26649,41.42238
bias,-72.26872,41.41985
bias,-72.26888,41.41818
bias,-72.2682,41.4168
bias,-72.28393,41.42827
bias,-72.28311,41.42856
bias,-72.28086,41.42931
bias,-72.28611,41.42495
bias,-72.26782,41.41466
bias,-72.26897,41.41714
bias,-72.28582,41.42604
bias,-72.28543,41.42771
bias,-72.28268,41.42866
bias,-72.28265,41.42934
bias,-72.28016,41.4337
bias,-72.28046,41.4339
bias,-72.28224,41.43368
bias,-72.28326,41.43208
bias,-72.34159,41.41449
bias,-72.33951,41.41569
bias,-72.339,41.41739
bias,-72.33779,41.4184
bias,-72.33759,41.41751
bias,-72.33868,41.41685
bias,-72.33862,41.41614
bias,-72.34144,41.41375
bias,-72.32169,41.37361
bias,-72.3194,41.37447
bias,-72.30459,41.38465
bias,-72.30693,41.39243
bias,-72.3071,41.39197
bias,-72.30708,41.39138
bias,-72.30876,41.38783
bias,-72.32204,41.4661
bias,-72.32736,41.45827
bias,-72.32278,41.45902
bias,-72.34193,41.41434
bias,-72.34154,41.41883
bias,-72.33963,41.41674
bias,-72.34072,41.41971
bias,-72.34456,41.41998
bias,-72.34514,41.42461
bias,-72.34493,41.42389
bias,-72.33819,41.41705
bias,-72.33763,41.48254
bias,-72.33368,41.48085
bias,-72.33417,41.47545
bias,-72.33053,41.47455
bias,-72.33004,41.47527
bias,-72.34679,41.48141
bias,-72.34381,41.47826
bias,-72.33949,41.47679
