"Longitude","Latitude","X","Y","species"
-91.3306,16.7347,-10166875.8858442,1824905.23804952,"Tapirus bairdii"
-91.1833,16.7333,-10150478.5248503,1824756.82504499,"Tapirus bairdii"
-91.1536,16.8306,-10147172.3359737,1835068.99249165,"Tapirus bairdii"
-91.1167,16.7167,-10143064.6467635,1822996.9898086,"Tapirus bairdii"
-91.05,16.55,-10135639.6367276,1805316.17000162,"Tapirus bairdii"
-90.9508,16.1067,-10124596.7432409,1758225.94860555,"Tapirus bairdii"
-90.9167,16.4,-10120800.7486048,1789393.86000144,"Tapirus bairdii"
-90.9017,16.1583,-10119130.9562429,1763712.57294437,"Tapirus bairdii"
-89.4167,18.65,-9953821.5124149,2026911.73772913,"Tapirus bairdii"
-89.3972,18.6,-9951650.78234444,2021665.40540008,"Tapirus bairdii"
-89.2653,18.61,-9936967.7415088,2022714.79230326,"Tapirus bairdii"
-90.103,17.8849,-10030220.0789463,1946469.70671115,"Tapirus bairdii"
-90.8836,16.1465,-10117116.0734596,1762458.0027496,"Tapirus bairdii"
-93.8645,16.332,-10448948.3435652,1782171.79637418,"Tapirus bairdii"
-93.8495,16.3322,-10447278.5512033,1782193.04133514,"Tapirus bairdii"
-88.9363,19.2364,-9900343.62903782,2088327.13520224,"Tapirus bairdii"
-89.2173,19.2368,-9931624.40595073,2088368.95615398,"Tapirus bairdii"
-88.9324,19.2413,-9899909.48302372,2088839.43500785,"Tapirus bairdii"
-88.9176,19.2503,-9898261.95455998,2089780.35494445,"Tapirus bairdii"
-88.892,19.2599,-9895412.17559567,2090783.94734565,"Tapirus bairdii"
-88.8883,19.2599,-9895000.29347974,2090783.94734565,"Tapirus bairdii"
-89.7831,18.1043,-9994608.97384156,1969572.53739115,"Tapirus bairdii"
-90.0962,18.0106,-10029463.1064089,1959709.35411872,"Tapirus bairdii"
-87.7924,19.7289,-9773005.26351939,2139743.23918735,"Tapirus bairdii"
-87.7874,19.7205,-9772448.66606542,2138867.57895059,"Tapirus bairdii"
-87.7853,19.7174,-9772214.89513476,2138544.40727475,"Tapirus bairdii"
-87.7851,19.7171,-9772192.6312366,2138513.13227175,"Tapirus bairdii"
-87.8229,19.7139,-9776400.50798859,2138179.52867499,"Tapirus bairdii"
-87.7447,19.9072,-9767695.32380855,2158319.53868517,"Tapirus bairdii"
-87.7446,19.9074,-9767684.19185947,2158340.36437665,"Tapirus bairdii"
-87.7405,19.9115,-9767227.78194722,2158767.28538751,"Tapirus bairdii"
-87.7358,19.9164,-9766704.58034049,2159277.49388764,"Tapirus bairdii"
-87.7357,19.9164,-9766693.44839141,2159277.49388764,"Tapirus bairdii"
-87.7243,19.9276,-9765424.40619637,2160443.62678088,"Tapirus bairdii"
-87.6221,19.7866,-9754047.5542373,2145756.97537096,"Tapirus bairdii"
-87.6231,19.7843,-9754158.87372809,2145517.30037397,"Tapirus bairdii"
-87.7507,19.901,-9768363.24075331,2157673.92950232,"Tapirus bairdii"
