"","X","Route.Point","detN","site","POINT","WMA","grass250m","grass500m","grass1km","grass1.5km","grass2km","grass2.5km","grass3km","grass3.5m","grass4km","grass4.5km","grass5km","trees250m","trees500m","trees1km","trees1.5km","trees2km","trees2.5km","trees3km","trees3.5km","trees4km","trees4.5km","trees5km","Occur"
"127",127,"HITCH.1.1",4,"HITCH.1",1,"HITCH",0.494071,0.421754,0.466207,0.414404,0.422369,0.460444,0.48025,0.460971,0.463467,0.489269,0.496205,0,0,0,0,0,0,0,0.000279193,0.00359923,0.00631004,0.0192455,1
"128",128,"HITCH.2.2",4,"HITCH.2",2,"HITCH",0.790514,0.624861,0.489379,0.40956,0.454487,0.50052,0.485501,0.473186,0.458485,0.471103,0.490794,0,0,0,0,0,0,0,0.0013727,0.00439708,0.00676278,0.0218367,1
"129",129,"HITCH.3.3",4,"HITCH.3",3,"HITCH",1,0.768036,0.548138,0.486042,0.470902,0.509466,0.495814,0.477211,0.460169,0.466519,0.498978,0,0,0,0,0,0,0,0.00239641,0.00414886,0.00509331,0.0137778,1
"130",130,"HITCH.4.4",5,"HITCH.4",4,"HITCH",1,0.874584,0.487448,0.459528,0.503446,0.526137,0.516313,0.47863,0.458733,0.460251,0.485029,0,0,0,0,0,0,0.000700258,0.00388544,0.0042907,0.00495183,0.0198733,1
"131",131,"HITCH.5.5",2,"HITCH.5",5,"HITCH",0.881423,0.714761,0.520276,0.555003,0.552547,0.541589,0.517841,0.485866,0.465009,0.463746,0.485178,0,0,0,0,0,0,0.00114588,0.00525814,0.00441482,0.00605538,0.0112779,1
"132",132,"HITCH.6.6",4,"HITCH.6",6,"HITCH",1,0.884573,0.497379,0.490249,0.550345,0.539827,0.535729,0.47877,0.457456,0.461751,0.472496,0,0,0,0,0,0.000542177,0.00388325,0.00479282,0.00491126,0.0058856,0.0237087,1
"133",133,"HITCH.7.7",4,"HITCH.7",7,"HITCH",0.786561,0.675916,0.489655,0.417846,0.500746,0.525686,0.519719,0.473395,0.458343,0.458143,0.475532,0,0,0,0,0,0,0.00187796,0.00314092,0.00508856,0.0114458,0.0287769,1
"134",134,"HITCH.8.8",3,"HITCH.8",8,"HITCH",0.624506,0.603774,0.489931,0.468196,0.496909,0.530656,0.526148,0.484935,0.452793,0.460435,0.466514,0,0,0,0,0,0.00176207,0.00423338,0.00367604,0.00648925,0.020642,0.0340962,1
"135",135,"HITCH.9.9",4,"HITCH.9",9,"HITCH",0.865613,0.645949,0.526621,0.575398,0.582179,0.560114,0.531623,0.493288,0.464495,0.466462,0.467222,0,0,0,0,0,0.0031627,0.00429704,0.00572346,0.00562047,0.00631004,0.0187204,1
"136",136,"JM.1.1",1,"JM.1",1,"JM",0.268775,0.18202,0.187862,0.306947,0.362112,0.393666,0.421237,0.470836,0.497509,0.512995,0.531922,0,0,0.0110345,0.010325,0.00774533,0.00524104,0.0064933,0.0114469,0.0148047,0.0155912,0.0197706,1
"137",137,"JM.2.2",1,"JM.2",2,"JM",0.0711462,0.144284,0.25269,0.296495,0.358204,0.421768,0.455581,0.484307,0.514796,0.516461,0.527915,0,0,0.0154483,0.0104525,0.00689263,0.00506032,0.00394691,0.00744515,0.0138118,0.0199346,0.0230238,1
"138",138,"JM.3.3",1,"JM.3",3,"JM",0.213439,0.203108,0.289655,0.300956,0.376252,0.441106,0.489989,0.499686,0.527189,0.5257,0.524662,0,0,0.017931,0.010325,0.00675052,0.00492477,0.00356495,0.0042577,0.0131735,0.0207977,0.0248616,1
"139",139,"JM.4.4",1,"JM.4",4,"JM",0.766798,0.751387,0.496276,0.450733,0.476515,0.529797,0.551994,0.553524,0.541019,0.534939,0.523052,0,0,0.0143448,0.00994264,0.0057557,0.00375006,0.00798931,0.0144948,0.0181557,0.023217,0.0273272,1
"140",140,"JM.5.5",2,"JM.5",5,"JM",0.73913,0.63707,0.551172,0.480816,0.487103,0.523246,0.540153,0.55129,0.53593,0.531232,0.517916,0.0197628,0.0377358,0.0165517,0.0100701,0.0057557,0.00402114,0.00767101,0.0150066,0.0206911,0.0240234,0.0278865,1
"141",141,"JM.6.6",0,"JM.6",6,"JM",0.667984,0.516093,0.446345,0.444869,0.435799,0.497402,0.522997,0.533073,0.527757,0.529944,0.518064,0.0711462,0.045505,0.0195862,0.010325,0.0057557,0.00451814,0.00534742,0.0104232,0.01945,0.0257212,0.027624,0
